launch_speed_mph,launch_angle_deg,launch_speed_angle,samples
7,-14,1,1
9,-60,1,1
10,-8,1,1
11,-66,1,1
11,-45,1,1
11,-30,1,1
11,53,1,1
11,64,1,1
12,-59,1,1
12,-21,1,1
12,-18,1,1
12,52,1,1
13,-85,1,1
13,32,1,1
14,-23,1,1
14,50,1,1
14,70,1,1
15,24,1,1
15,25,1,1
15,45,1,1
16,-43,1,1
16,-34,1,1
16,-8,1,1
16,-3,1,1
16,16,1,1
16,21,1,1
16,62,1,1
16,66,1,1
17,-53,1,1
17,-29,1,1
17,-17,1,1
18,-84,1,1
18,-50,1,1
18,-49,1,1
18,-31,1,1
18,34,1,1
19,-81,1,1
19,-56,1,1
19,-35,1,1
19,-9,1,2
19,19,1,1
19,22,1,1
19,23,1,1
19,35,1,1
20,-27,1,1
20,-17,1,1
20,-5,1,2
20,44,1,1
21,-63,1,1
21,-55,1,1
21,-36,1,1
21,-28,1,1
21,-18,1,1
21,-17,1,1
21,-15,1,1
21,-10,1,1
21,-1,1,1
21,2,1,1
21,28,1,1
21,43,1,1
21,61,1,1
22,-78,1,1
22,-38,1,1
22,-36,1,1
22,-32,1,2
22,-30,1,1
22,-16,1,1
22,-12,1,1
22,-11,1,1
22,6,1,1
22,15,1,1
22,17,1,1
22,29,1,1
22,33,1,1
22,46,1,2
22,48,1,1
23,-83,1,1
23,-66,1,1
23,-65,1,1
23,-38,1,1
23,-29,1,1
23,-27,1,1
23,-25,1,1
23,-21,1,1
23,-12,1,1
23,3,1,1
23,18,1,1
23,19,1,1
23,25,1,1
23,76,1,1
24,-66,1,1
24,-46,1,2
24,-38,1,1
24,-29,1,1
24,-21,1,1
24,-15,1,1
24,17,1,1
24,22,1,1
24,25,1,1
24,26,1,1
24,32,1,1
24,34,1,1
24,35,1,1
24,36,1,1
24,43,1,1
24,52,1,1
24,67,1,1
25,-76,1,1
25,-66,1,1
25,-59,1,1
25,-51,1,1
25,-50,1,1
25,-48,1,1
25,-43,1,1
25,-29,1,1
25,-26,1,1
25,-25,1,1
25,-22,1,1
25,-20,1,1
25,-15,1,1
25,-2,1,1
25,5,1,1
25,6,1,1
25,9,1,1
25,14,1,2
25,22,1,2
25,56,1,1
26,-68,1,1
26,-53,1,1
26,-30,1,1
26,-28,1,1
26,-17,1,1
26,-16,1,1
26,-14,1,1
26,-7,1,2
26,2,1,1
26,4,1,1
26,14,1,2
26,17,1,1
26,21,1,1
26,22,1,1
26,25,1,1
26,38,1,1
26,45,1,1
26,56,1,1
27,-69,1,2
27,-62,1,1
27,-54,1,1
27,-46,1,1
27,-45,1,1
27,-44,1,1
27,-42,1,1
27,-32,1,1
27,-31,1,1
27,-26,1,2
27,-23,1,1
27,-22,1,1
27,-20,1,1
27,-19,1,1
27,-12,1,1
27,-8,1,2
27,-5,1,1
27,-3,1,1
27,-2,1,1
27,0,1,1
27,1,1,1
27,3,1,1
27,8,1,1
27,13,1,1
27,14,1,1
27,16,1,1
27,22,1,1
27,24,1,1
27,27,1,1
27,31,1,1
27,34,1,1
27,35,1,1
27,40,1,1
27,48,1,1
27,63,1,1
27,71,1,1
28,-77,1,1
28,-75,1,1
28,-71,1,2
28,-68,1,1
28,-66,1,1
28,-61,1,1
28,-58,1,3
28,-57,1,1
28,-52,1,1
28,-50,1,1
28,-49,1,1
28,-48,1,1
28,-46,1,3
28,-34,1,1
28,-29,1,1
28,-28,1,1
28,-27,1,1
